aa ;INFO207 ;12
aa ;INFO204 ;5
aa ;INFO201 ;12
aa ;INFO202 ;6
aa ;INFO203 ;5
aa ;INFO205 ;11
aa ;INFO206 ;10
aa ;INFO208 ;18
aa ;INFO210 ;2
aa ;ENG206 ;15
bb ;INFO207 ;10
bb ;INFO204 ;5
bb ;INFO201 ;2
bb ;INFO202 ;16
bb ;INFO203 ;5
bb ;INFO205 ;11
bb ;INFO206 ;10
bb ;INFO208 ;17
bb ;INFO210 ;12
bb ;ENG206 ;15
cc ;INFO207 ;10
cc ;INFO204 ;8
cc ;INFO201 ;3
cc ;INFO202 ;1
cc ;INFO203 ;20
cc ;INFO205 ;11
cc ;INFO206 ;10
cc ;INFO208 ;17
cc ;INFO210 ;12
cc ;ENG206 ;11
dd ;INFO207 ;17
dd ;INFO204 ;15
dd ;INFO201 ;16
dd ;INFO202 ;16
dd ;INFO203 ;15
dd ;INFO205 ;14
dd ;INFO206 ;17
dd ;INFO208 ;17
dd ;INFO210 ;20
dd ;ENG206 ;15
ee ;INFO207 ;7
ee ;INFO204 ;15
ee ;INFO201 ;16
ee ;INFO202 ;9
ee ;INFO203 ;15
ee ;INFO205 ;11
ee ;INFO206 ;10
ee ;INFO208 ;1
ee ;INFO210 ;12
ee ;ENG206 ;15
ff ;INFO207 ;7
ff ;INFO204 ;5
ff ;INFO201 ;16
ff ;INFO202 ;16
ff ;INFO203 ;9
ff ;INFO205 ;11
ff ;INFO206 ;10
ff ;INFO208 ;10
ff ;INFO210 ;3
ff ;ENG206 ;2
gg ;INFO207 ;1
gg ;INFO204 ;15
gg ;INFO201 ;16
gg ;INFO202 ;10
gg ;INFO203 ;7
gg ;INFO205 ;11
gg ;INFO206 ;10
gg ;INFO208 ;17
gg ;INFO210 ;3
gg ;ENG206 ;1
hh ;INFO207 ;17
hh ;INFO204 ;15
hh ;INFO201 ;16
hh ;INFO202 ;7
hh ;INFO203 ;11
hh ;INFO205 ;11
hh ;INFO206 ;10
hh ;INFO208 ;17
hh ;INFO210 ;12
hh ;ENG206 ;11
ii ;INFO207 ;17
ii ;INFO204 ;15
ii ;INFO201 ;16
ii ;INFO202 ;18
ii ;INFO203 ;17
ii ;INFO205 ;11
ii ;INFO206 ;10
ii ;INFO208 ;17
ii ;INFO210 ;10
ii ;ENG206 ;15
jj ;INFO207 ;9
jj ;INFO204 ;10
jj ;INFO201 ;12
jj ;INFO202 ;8
jj ;INFO203 ;15
jj ;INFO205 ;4
jj ;INFO206 ;13
jj ;INFO208 ;3
jj ;INFO210 ;12
jj ;ENG206 ;15
kk ;INFO207 ;17
kk ;INFO204 ;15
kk ;INFO201 ;16
kk ;INFO202 ;8
kk ;INFO203 ;15
kk ;INFO205 ;11
kk ;INFO206 ;10
kk ;INFO208 ;17
kk ;INFO210 ;12
kk ;ENG206 ;15
ll ;INFO207 ;4
ll ;INFO204 ;15
ll ;INFO201 ;16
ll ;INFO202 ;11
ll ;INFO203 ;7
ll ;INFO205 ;11
ll ;INFO206 ;10
ll ;INFO208 ;9
ll ;INFO210 ;9
ll ;ENG206 ;15
mm ;INFO207 ;17
mm ;INFO204 ;15
mm ;INFO201 ;16
mm ;INFO202 ;10
mm ;INFO203 ;11
mm ;INFO205 ;11
mm ;INFO206 ;10
mm ;INFO208 ;17
mm ;INFO210 ;12
mm ;ENG206 ;10
nn ;INFO207 ;17
nn ;INFO204 ;11
nn ;INFO201 ;10
nn ;INFO202 ;16
nn ;INFO203 ;15
nn ;INFO205 ;11
nn ;INFO206 ;10
nn ;INFO208 ;13
nn ;INFO210 ;12
nn ;ENG206 ;10
oo ;INFO207 ;10
oo ;INFO204 ;11
oo ;INFO201 ;12
oo ;INFO202 ;13
oo ;INFO203 ;14
oo ;INFO205 ;11
oo ;INFO206 ;10
oo ;INFO208 ;12
oo ;INFO210 ;10
oo ;ENG206 ;11
pp ;INFO207 ;16
pp ;INFO204 ;15
pp ;INFO201 ;14
pp ;INFO202 ;13
pp ;INFO203 ;12
pp ;INFO205 ;11
pp ;INFO206 ;10
pp ;INFO208 ;12
pp ;INFO210 ;11
pp ;ENG206 ;10
qq ;INFO207 ;10
qq ;INFO204 ;10
qq ;INFO201 ;10
qq ;INFO202 ;10
qq ;INFO203 ;11
qq ;INFO205 ;11
qq ;INFO206 ;10
qq ;INFO208 ;17
qq ;INFO210 ;12
qq ;ENG206 ;15
rr ;INFO207 ;10
rr ;INFO204 ;15
rr ;INFO201 ;11
rr ;INFO202 ;13
rr ;INFO203 ;10
rr ;INFO205 ;11
rr ;INFO206 ;10
rr ;INFO208 ;17
rr ;INFO210 ;12
rr ;ENG206 ;113
ss ;INFO207 ;8
ss ;INFO204 ;15
ss ;INFO201 ;16
ss ;INFO202 ;16
ss ;INFO203 ;18
ss ;INFO205 ;7
ss ;INFO206 ;10
ss ;INFO208 ;9
ss ;INFO210 ;1
ss ;ENG206 ;15
tt ;INFO207 ;13
tt ;INFO204 ;15
tt ;INFO201 ;12
tt ;INFO202 ;15
tt ;INFO203 ;15
tt ;INFO205 ;11
tt ;INFO206 ;10
tt ;INFO208 ;17
tt ;INFO210 ;12
tt ;ENG206 ;15
