Dieu ;INFO204 ;14
Dieu ;M412 ;10
20 ;M754 ;17
20 ;M278 ;19
20 ;M974 ;39
20 ;M486 ;14
Dieu ;M452 ;10
Dieu ;M754 ;9
Dieu ;M278 ;8
Dieu ;M452 ;11
Dieu ;M650 ;13
E244 ;M357 ;12
E244 ;M897 ;15
E244 ;M452 ;18
E244 ;M431 ;14
E244 ;M576 ;16
E900 ;hermanpro ;19
E900 ;M620 ;9
E900 ;M344 ;4
E900 ;M777 ;13
E900 ;M246 ;14
E246 ;M257 ;20
E246 ;M812 ;14
E246 ;M527 ;3
E357 ;M974 ;17
E357 ;M678 ;19
E357 ;M452 ;1
E357 ;M754 ;6
E344 ;M247 ;16
E344 ;M850 ;13
E344 ;M452 ;17
E344 ;M754 ;13
E620 ;M243 ;9
E620 ;M527 ;18
E620 ;M812 ;14
E620 ;M278 ;4
E620 ;M412 ;10
E777 ;M974 ;16
E777 ;M527 ;15
E777 ;M678 ;9
E777 ;M452 ;11
E135 ;M754 ;3
E135 ;M486 ;19
E135 ;M243 ;1
E135 ;M850 ;14
E135 ;M247 ;16
E542 ;M278 ;13
E542 ;M527 ;5
E542 ;M678 ;19
E650 ;M754 ;18
E650 ;M278 ;4
E650 ;INFO204 ;7
E775 ;M974 ;18
E775 ;M812 ;7
E775 ;M486 ;10
E775 ;M243 ;19
E897 ;M412 ;20
E897 ;M754 ;14
E897 ;M486 ;10
E897 ;M974 ;17
E431 ;M850 ;12
E431 ;M527 ;15
E431 ;M678 ;14
E431 ;M243 ;18
E576 ;M486 ;19
E576 ;M452 ;3
E576 ;M278 ;13
E576 ;M974 ;2
E247 ;M678 ;10
E247 ;M812 ;14
E247 ;M974 ;15
E247 ;M412 ;247
